layer,gamma_type,alpha,beta,gamma,agreement_type,document,task_type,annotators,Luiza_annotations,Sara_annotations,human_annotator,model,human_annotations,model_annotations,model_a,model_b,model_a_annotations,model_b_annotations,Mistral_annotations,Qwen_annotations,Gemma_annotations
argumentation,standard,1,1,0.9740104,human-human,TED_001,argumentation,Luiza vs Sara,10,10,,,,,,,,,,,
argumentation,soft,1,1,0.9738398,human-human,TED_001,argumentation,Luiza vs Sara,10,10,,,,,,,,,,,
argumentation,standard,1,2,0.9749859,human-human,TED_001,argumentation,Luiza vs Sara,10,10,,,,,,,,,,,
argumentation,soft,1,2,0.9748279,human-human,TED_001,argumentation,Luiza vs Sara,10,10,,,,,,,,,,,
argumentation,standard,1,1,0.8680867,human-human,TED_002,argumentation,Luiza vs Sara,24,22,,,,,,,,,,,
argumentation,soft,1,1,0.86053383,human-human,TED_002,argumentation,Luiza vs Sara,24,22,,,,,,,,,,,
argumentation,standard,1,2,0.81427205,human-human,TED_002,argumentation,Luiza vs Sara,24,22,,,,,,,,,,,
argumentation,soft,1,2,0.80373347,human-human,TED_002,argumentation,Luiza vs Sara,24,22,,,,,,,,,,,
argumentation,standard,1,1,0.9227083,human-human,TED_004,argumentation,Luiza vs Sara,36,33,,,,,,,,,,,
argumentation,soft,1,1,0.9738885,human-human,TED_004,argumentation,Luiza vs Sara,36,33,,,,,,,,,,,
argumentation,standard,1,2,0.92953855,human-human,TED_004,argumentation,Luiza vs Sara,36,33,,,,,,,,,,,
argumentation,soft,1,2,0.9760832,human-human,TED_004,argumentation,Luiza vs Sara,36,33,,,,,,,,,,,
argumentation,standard,1,1,0.82244754,human-human,TED_005,argumentation,Luiza vs Sara,24,19,,,,,,,,,,,
argumentation,soft,1,1,0.8455037,human-human,TED_005,argumentation,Luiza vs Sara,24,19,,,,,,,,,,,
argumentation,standard,1,2,0.80203426,human-human,TED_005,argumentation,Luiza vs Sara,24,19,,,,,,,,,,,
argumentation,soft,1,2,0.8239057,human-human,TED_005,argumentation,Luiza vs Sara,24,19,,,,,,,,,,,
argumentation,standard,1,1,0.89828205,human-human,TED_006,argumentation,Luiza vs Sara,25,24,,,,,,,,,,,
argumentation,soft,1,1,0.9182144,human-human,TED_006,argumentation,Luiza vs Sara,25,24,,,,,,,,,,,
