sample_id	file_name	source	split	original_id	source_record_key	story_char_len	story_word_len	notes	story	moral
STORAL_001	STORAL_001.txt	STORAL	test	108	test_108	417	83		"A man came into a wood one day with an axe in his hand, and begged all the trees to give him a small branch which he wanted for a particular purpose. The trees were good-natured and gave him one of their branches. What did the man do but fix it into the axe head, and soon set to work cutting down tree after tree. Then the trees saw how foolish they had been in giving their enemy the means of destroying themselves."	Never supply the means of your own destruction.
STORAL_002	STORAL_002.txt	STORAL	valid	124	valid_124	605	117		"There lived a dog and a donkey in a house of a rich man. The dog guarded his house and the donkey carried loads for him. It was a hot afternoon. The dog was sleeping under the shady veranda. There was some noise outside. The dog just lifted up his head and went back to sleep. The donkey asked, ""Why don't you bark. it could be thieves"". The dog replied, ""Mind your own business"". But the donkey would not listen. He wanted to save his master from thieves. He started to bray. The master who was sound asleep got wild with the donkey and came running out with a stick and gave hard beatings to the donkey."	It is always better to mind our own business.
STORAL_003	STORAL_003.txt	STORAL	train	1067	train_1067	621	113		"A mouse running over his face awakened a lion from sleep. Rising up angrily, he caught him and was about to kill him. Then the mouse piteously entreated, saying:""If you would only spare my life, I would be sure to repay your kindness."" The lion laughed at him but allowed him to go. It happened shortly after this that some hunters, who bound him by strong ropes to the ground, caught the lion. The mouse, recognizing his roar, came and gnawed the rope with his teeth, and set him free, exclaiming:""You ridiculed the idea of my ever being able to help you, never expecting to receive from me any repayment of your favor."""	It is possible for even a mouse to confer benefits on a lion.
STORAL_004	STORAL_004.txt	STORAL	train	1033	train_1033	732	146		"One day, an old man was having a stroll in the forest when he suddenly saw a little cat stuck in a hole. The poor animal was struggling to get out. So, he gave him his hand to get him out. But the cat scratched his hand with fear. The man pulled his hand screaming with pain. But he did not stop; he tried to give a hand to the cat again and again. Another man was watching the scene, screamed with surprise, ""For god sakes! stop helping this cat! he's going to get himself out of there"". The other man did not care about him, he just continued saving that animal until he finally succeeded, and then he walked to that man and said, ""Son, it is cat's instincts that makes him scratch and to hurt, and it is my job to love and care""."	"Treat everyone around you with your ethics, not with theirs.  treat the people the way you want to be treated by them."
STORAL_005	STORAL_005.txt	STORAL	train	45	train_45	777	151		"A rabbit left his home one day for a dinner of clover. But he forgot to latch the door of his house and while he was gone a weasel walked in and calmly made himself at home. When the rabbit returned, there was the weasel's nose sticking out of the rabbit's own doorway, sniffing the fine air. The rabbit was quite angry for a rabbit , and requested the weasel to move out. But the weasel was perfectly content. He was settled down for good. A wise old cat heard the dispute and offered to settle it. ""Come close to me,"" Said the cat, ""I am very deaf. put your mouths close to my ears while you tell me the facts.""The unsuspecting pair did as they were told and in an instant the cat had them both under her claws. No one could deny that the dispute had been definitely settled."	The strong are apt to settle questions to their own advantage.
STORAL_006	STORAL_006.txt	STORAL	valid	42	valid_42	797	156		"""Hello, lion,"" Said cat. ""How are you this morning?"" ""What's it to you!"" Lion growled. Lion was in a very bad mood because he woke up on the wrong side of the bed. Cat said, ""Well you don't have to be snotty about it! just because I'm better than you does not mean you have to be a brat about it!"" ""Well, I could best you at anything! and that's a fact jack!"" Said lion. ""Ya, right corny de' lion! give me any request you want and I shall fulfill it!"" ""Well, I do have this bone in my throat that has been bugging me for ages! will you get it out for me?"" Lion spoke with a mysterious glint in his eyes. ""Sure!"" Cat said without thinking even once. Cat then climbed into lion's throat and looked and looked but couldn't find the bone. Then, with one silent bite, lion swallowed jack the cat whole!"	Don't let your cats play with lions.
STORAL_007	STORAL_007.txt	STORAL	test	193	test_193	821	165		"One night a thief came into a house. He brought several slices of meat with himself to trick the house-dog. The thief entered the house and saw the house-dog. Then he threw the pieces of meat at him. On this act, the dog said, ""If you think that by throwing this piece of meat you can fool me, you are mistaken."" The thief throws another piece of meat at the dog. The dog doesn't pick up the piece of meat and replies, ""I am a faithful house-dog. you cannot fool me and harm my master."" As the dog completed his sentence, he immediately pounced on the thief. The thief got scared and ran out of the window in no time. The master of the house dog woke up on hearing the voice of the dog. He came out of the room and got to know the incident. Then he praised his dog and gave him two more pieces of meat to eat as a reward."	"He who offers bribes needs watching, for his intentions are not honest."
STORAL_008	STORAL_008.txt	STORAL	valid	125	valid_125	884	176		"There was a large flock of sheep grazing on a lawn. A wolf stealthily stole a lamb. The lamb tried hard to get away but it could not. As the wolf was about to kill the lamb, an idea struck in the lamb's mind. The lamb pleaded, ""Oh wolf! I know that I am going to die now. will you be kind enough to fulfil my last wish?"" The wolf asked, ""What is your last wish?"" The lamb replied, ""I am fond of music. before I die, I wish to hear you play the flute."" The wolf agreed and played the flute. When the wolf stopped the lamb said, ""Oh! what beautiful music! will you play a bit louder, please? you play far better than my shepherd"". The wolf was pleased by the flattery and started to play louder. In the mean time, the shepherd and the dogs who were in search of the missing lamb heard the sound. They came running and caught hold of the wolf. The lamb happily trotted away to his flock."	If there is a will there is a way.
STORAL_009	STORAL_009.txt	STORAL	train	596	train_596	912	173		"Margaret, a hen, lived with her friend the grasshopper. They lived in miserable conditions as they had spent all the earned money. To add to this their friend, cow had died and they did not know what to do. ""If only the good lord would give us another cow!"" They sighed, ""We shall never be able to buy another one."" ""Work with faith and the lord will help you,"" Said their neighbor, the dog. ""What can we do?"" Asked the hen. The dog replied, ""You must work harder. you both are expert spinners, embroiders and sewers. work for some extra hours and you will earn more than you have done up to now. also decrease your expenses. put aside what you earn in your extra-work hours and soon you will have enough money to buy a good cow."" The hen and the grasshopper followed the advice of the dog and at the end of the year they had the necessary money for the cow. They also make a better  living through their saving."	"Rich rewards will come to him, who works on with simling vim."
STORAL_010	STORAL_010.txt	STORAL	train	52	train_52	935	181		"Two pots, one of brass and the other of clay, stood together on the hearthstone. One day the brass pot proposed to the earthen pot that they go out into the world together. But the earthen pot excused himself, saying that it would be wiser for him to stay in the corner by the fire. ""It would take so little to break me,"" He said. ""You know how fragile I am. the least shock is sure to shatter me!""""Don't let that keep you at home,"" Urged the brass pot. ""I shall take very good care of you. if we should happen to meet anything hard I will step between and save you.""So the earthen pot at last consented, and the two set out side by side, jolting along on three stubby legs first to this side, then to that, and bumping into each other at every step. The earthen pot could not survive that sort of companionship very long. They had not gone ten paces before the earthen pot cracked, and at the next jolt he flew into a thousand pieces."	Equals make the best friends.
