layer,gamma_type,alpha,beta,gamma,agreement_type,document,task_type,annotators,Luiza_annotations,Sara_annotations,human_annotator,model,human_annotations,model_annotations,model_a,model_b,model_a_annotations,model_b_annotations,Mistral_annotations,Qwen_annotations,Gemma_annotations
narration,standard,1,1,0.07295936,human-human,TED_001,narration,Luiza vs Sara,10.0,4.0,,,,,,,,,,,
narration,soft,1,1,0.13453227,human-human,TED_001,narration,Luiza vs Sara,10.0,4.0,,,,,,,,,,,
narration,standard,1,2,0.16068453,human-human,TED_001,narration,Luiza vs Sara,10.0,4.0,,,,,,,,,,,
narration,soft,1,2,0.17813921,human-human,TED_001,narration,Luiza vs Sara,10.0,4.0,,,,,,,,,,,
narration,standard,1,1,0.24299252,human-human,TED_002,narration,Luiza vs Sara,10.0,7.0,,,,,,,,,,,
narration,soft,1,1,0.41805327,human-human,TED_002,narration,Luiza vs Sara,10.0,7.0,,,,,,,,,,,
narration,standard,1,2,0.33758837,human-human,TED_002,narration,Luiza vs Sara,10.0,7.0,,,,,,,,,,,
narration,soft,1,2,0.48997754,human-human,TED_002,narration,Luiza vs Sara,10.0,7.0,,,,,,,,,,,
narration,standard,1,1,-0.015614867,human-human,TED_004,narration,Luiza vs Sara,14.0,1.0,,,,,,,,,,,
narration,soft,1,1,-0.015614867,human-human,TED_004,narration,Luiza vs Sara,14.0,1.0,,,,,,,,,,,
narration,standard,1,2,0.061982036,human-human,TED_004,narration,Luiza vs Sara,14.0,1.0,,,,,,,,,,,
narration,soft,1,2,0.061982036,human-human,TED_004,narration,Luiza vs Sara,14.0,1.0,,,,,,,,,,,
narration,standard,1,1,0.08936185,human-human,TED_005,narration,Luiza vs Sara,18.0,3.0,,,,,,,,,,,
narration,soft,1,1,0.19972754,human-human,TED_005,narration,Luiza vs Sara,18.0,3.0,,,,,,,,,,,
narration,standard,1,2,0.14774764,human-human,TED_005,narration,Luiza vs Sara,18.0,3.0,,,,,,,,,,,
narration,soft,1,2,0.25206596,human-human,TED_005,narration,Luiza vs Sara,18.0,3.0,,,,,,,,,,,
narration,standard,1,1,-0.1911664,human-human,TED_006,narration,Luiza vs Sara,9.0,1.0,,,,,,,,,,,
narration,soft,1,1,-0.20337665,human-human,TED_006,narration,Luiza vs Sara,9.0,1.0,,,,,,,,,,,
narration,standard,1,2,-0.013316274,human-human,TED_006,narration,Luiza vs Sara,9.0,1.0,,,,,,,,,,,
narration,soft,1,2,-0.024085522,human-human,TED_006,narration,Luiza vs Sara,9.0,1.0,,,,,,,,,,,
narration,standard,1,1,-1.4399116,human-human,TED_007,narration,Luiza vs Sara,1.0,0.0,,,,,,,,,,,
narration,soft,1,1,-1.4399116,human-human,TED_007,narration,Luiza vs Sara,1.0,0.0,,,,,,,,,,,
narration,standard,1,2,-0.6601069,human-human,TED_007,narration,Luiza vs Sara,1.0,0.0,,,,,,,,,,,
narration,soft,1,2,-0.6601069,human-human,TED_007,narration,Luiza vs Sara,1.0,0.0,,,,,,,,,,,
narration,standard,1,1,-0.17602324,human-human,TED_008,narration,Luiza vs Sara,15.0,2.0,,,,,,,,,,,
narration,soft,1,1,-0.19449675,human-human,TED_008,narration,Luiza vs Sara,15.0,2.0,,,,,,,,,,,
narration,standard,1,2,-0.18801463,human-human,TED_008,narration,Luiza vs Sara,15.0,2.0,,,,,,,,,,,
narration,soft,1,2,-0.20626843,human-human,TED_008,narration,Luiza vs Sara,15.0,2.0,,,,,,,,,,,
narration,standard,1,1,0.30876517,human-human,TED_010,narration,Luiza vs Sara,23.0,9.0,,,,,,,,,,,
narration,soft,1,1,0.5011141,human-human,TED_010,narration,Luiza vs Sara,23.0,9.0,,,,,,,,,,,
narration,standard,1,2,0.39718938,human-human,TED_010,narration,Luiza vs Sara,23.0,9.0,,,,,,,,,,,
narration,soft,1,2,0.56420827,human-human,TED_010,narration,Luiza vs Sara,23.0,9.0,,,,,,,,,,,
narration,standard,1,1,0.31779164,human-human,TED_011,narration,Luiza vs Sara,14.0,7.0,,,,,,,,,,,
narration,soft,1,1,0.4392342,human-human,TED_011,narration,Luiza vs Sara,14.0,7.0,,,,,,,,,,,
narration,standard,1,2,0.40004432,human-human,TED_011,narration,Luiza vs Sara,14.0,7.0,,,,,,,,,,,
narration,soft,1,2,0.48286134,human-human,TED_011,narration,Luiza vs Sara,14.0,7.0,,,,,,,,,,,
narration,standard,1,1,0.39218813,human-human,TED_012,narration,Luiza vs Sara,20.0,12.0,,,,,,,,,,,
narration,soft,1,1,0.50696707,human-human,TED_012,narration,Luiza vs Sara,20.0,12.0,,,,,,,,,,,
narration,standard,1,2,0.43578184,human-human,TED_012,narration,Luiza vs Sara,20.0,12.0,,,,,,,,,,,
narration,soft,1,2,0.52790815,human-human,TED_012,narration,Luiza vs Sara,20.0,12.0,,,,,,,,,,,
narration,standard,1,1,-0.03575778,human-human,TED_015,narration,Luiza vs Sara,18.0,2.0,,,,,,,,,,,
narration,soft,1,1,-0.03807628,human-human,TED_015,narration,Luiza vs Sara,18.0,2.0,,,,,,,,,,,
narration,standard,1,2,-0.051415563,human-human,TED_015,narration,Luiza vs Sara,18.0,2.0,,,,,,,,,,,
narration,soft,1,2,-0.053736925,human-human,TED_015,narration,Luiza vs Sara,18.0,2.0,,,,,,,,,,,
narration,standard,1,1,0.36049247,human-human,TED_016,narration,Luiza vs Sara,13.0,7.0,,,,,,,,,,,
narration,soft,1,1,0.54554856,human-human,TED_016,narration,Luiza vs Sara,13.0,7.0,,,,,,,,,,,
narration,standard,1,2,0.37181592,human-human,TED_016,narration,Luiza vs Sara,13.0,7.0,,,,,,,,,,,
narration,soft,1,2,0.5536724,human-human,TED_016,narration,Luiza vs Sara,13.0,7.0,,,,,,,,,,,
narration,standard,1,1,0.22245932,human-human,TED_017,narration,Luiza vs Sara,29.0,21.0,,,,,,,,,,,
narration,soft,1,1,0.28158307,human-human,TED_017,narration,Luiza vs Sara,29.0,21.0,,,,,,,,,,,
narration,standard,1,2,0.2677248,human-human,TED_017,narration,Luiza vs Sara,29.0,21.0,,,,,,,,,,,
narration,soft,1,2,0.31747925,human-human,TED_017,narration,Luiza vs Sara,29.0,21.0,,,,,,,,,,,
narration,standard,1,1,0.10759765,human-human,TED_018,narration,Luiza vs Sara,31.0,11.0,,,,,,,,,,,
narration,soft,1,1,0.18187785,human-human,TED_018,narration,Luiza vs Sara,31.0,11.0,,,,,,,,,,,
narration,standard,1,2,0.094665825,human-human,TED_018,narration,Luiza vs Sara,31.0,11.0,,,,,,,,,,,
narration,soft,1,2,0.1589368,human-human,TED_018,narration,Luiza vs Sara,31.0,11.0,,,,,,,,,,,
narration,standard,1,1,0.34127706,human-human,TED_019,narration,Luiza vs Sara,18.0,10.0,,,,,,,,,,,
narration,soft,1,1,0.4120713,human-human,TED_019,narration,Luiza vs Sara,18.0,10.0,,,,,,,,,,,
narration,standard,1,2,0.3682806,human-human,TED_019,narration,Luiza vs Sara,18.0,10.0,,,,,,,,,,,
narration,soft,1,2,0.44782728,human-human,TED_019,narration,Luiza vs Sara,18.0,10.0,,,,,,,,,,,
narration,standard,1,1,-0.050608635,human-human,TED_020,narration,Luiza vs Sara,23.0,5.0,,,,,,,,,,,
narration,soft,1,1,-0.053332567,human-human,TED_020,narration,Luiza vs Sara,23.0,5.0,,,,,,,,,,,
narration,standard,1,2,-0.018881679,human-human,TED_020,narration,Luiza vs Sara,23.0,5.0,,,,,,,,,,,
narration,soft,1,2,-0.021908402,human-human,TED_020,narration,Luiza vs Sara,23.0,5.0,,,,,,,,,,,
narration,standard,1,1,0.39020562,model-human,TED_001,narration,Mistral vs Luiza,,,Luiza,Mistral,10.0,5.0,,,,,,,
narration,soft,1,1,0.49665147,model-human,TED_001,narration,Mistral vs Luiza,,,Luiza,Mistral,10.0,5.0,,,,,,,
narration,standard,1,2,0.47825998,model-human,TED_001,narration,Mistral vs Luiza,,,Luiza,Mistral,10.0,5.0,,,,,,,
narration,soft,1,2,0.5662552,model-human,TED_001,narration,Mistral vs Luiza,,,Luiza,Mistral,10.0,5.0,,,,,,,
narration,standard,1,1,0.1413573,model-human,TED_001,narration,Mistral vs Sara,,,Sara,Mistral,4.0,5.0,,,,,,,
narration,soft,1,1,0.29419512,model-human,TED_001,narration,Mistral vs Sara,,,Sara,Mistral,4.0,5.0,,,,,,,
narration,standard,1,2,0.32374686,model-human,TED_001,narration,Mistral vs Sara,,,Sara,Mistral,4.0,5.0,,,,,,,
narration,soft,1,2,0.30078822,model-human,TED_001,narration,Mistral vs Sara,,,Sara,Mistral,4.0,5.0,,,,,,,
narration,standard,1,1,0.556581,model-human,TED_001,narration,Qwen vs Luiza,,,Luiza,Qwen,10.0,7.0,,,,,,,
narration,soft,1,1,0.6310952,model-human,TED_001,narration,Qwen vs Luiza,,,Luiza,Qwen,10.0,7.0,,,,,,,
narration,standard,1,2,0.6271639,model-human,TED_001,narration,Qwen vs Luiza,,,Luiza,Qwen,10.0,7.0,,,,,,,
narration,soft,1,2,0.6807736,model-human,TED_001,narration,Qwen vs Luiza,,,Luiza,Qwen,10.0,7.0,,,,,,,
narration,standard,1,1,0.34422398,model-human,TED_001,narration,Qwen vs Sara,,,Sara,Qwen,4.0,7.0,,,,,,,
narration,soft,1,1,0.54330146,model-human,TED_001,narration,Qwen vs Sara,,,Sara,Qwen,4.0,7.0,,,,,,,
narration,standard,1,2,0.44309682,model-human,TED_001,narration,Qwen vs Sara,,,Sara,Qwen,4.0,7.0,,,,,,,
narration,soft,1,2,0.51098585,model-human,TED_001,narration,Qwen vs Sara,,,Sara,Qwen,4.0,7.0,,,,,,,
narration,standard,1,1,0.61383164,model-human,TED_001,narration,Gemma vs Luiza,,,Luiza,Gemma,10.0,8.0,,,,,,,
narration,soft,1,1,0.6782915,model-human,TED_001,narration,Gemma vs Luiza,,,Luiza,Gemma,10.0,8.0,,,,,,,
narration,standard,1,2,0.647228,model-human,TED_001,narration,Gemma vs Luiza,,,Luiza,Gemma,10.0,8.0,,,,,,,
narration,soft,1,2,0.69672894,model-human,TED_001,narration,Gemma vs Luiza,,,Luiza,Gemma,10.0,8.0,,,,,,,
