document_id,model,label,human_explicit,llm_explicit,semantic_similarity,supporting_span_f1,human_span,llm_span,match_status,semantic_interpretation,bertscore_precision,bertscore_recall,bertscore_f1,bertscore_interpretation
STORAL_001,gemma,MC-IMP,Being too generous can lead to people taking advantage of you.,Helping an enemy can provide them with the means to cause you harm.,0.390314758,1,Then the trees saw how foolish they had been in giving their enemy the means of destroying themselves,Then the trees saw how foolish they had been in giving their enemy the means of destroying themselves.,matched,weak but meaningful alignment,0.452010572,0.474716485,0.464211971,weak but meaningful alignment
STORAL_001,gemma,P-IMP,people will ask for your help,,,,,,,,,,,no match
STORAL_001,gemma,P-IMP,people will ask for your help,Trusting others without knowing their true intentions can be dangerous.,0.405127227,0.31372549,"A man came into a wood one day with an axe in his hand, and begged all the trees to give him a small branch which he wanted for a particular purpose",The trees were good-natured and gave him one of their branches. What did the man do but fix it into the axe head,matched,weak but meaningful alignment,,,,
STORAL_001,gemma,P-IMP,you are generous,,,,The trees were good-natured and gave him one of their branches,,missed_by_llm,no match,,,,no match
STORAL_001,gemma,P-IMP,you can get stabbed in the back,,,,"What did the man do but fix it into the axe head, and soon set to work cutting down tree after tree",,missed_by_llm,no match,,,,
STORAL_001,gemma,P-IMP,you can get stabbed in the back,Trusting others without knowing their true intentions can be dangerous.,,,,,,,0.230936915,0.339613944,0.285874367,poor alignment
STORAL_001,mistral,MC-IMP,Being too generous can lead to people taking advantage of you.,Trusting your enemy can lead to your own destruction.,0.351390004,0.641509434,Then the trees saw how foolish they had been in giving their enemy the means of destroying themselves,"What did the man do but fix it into the axe head, and soon set to work cutting down tree after tree. Then the trees saw how foolish they had been in giving their enemy the means of destroying themselves.",matched,weak but meaningful alignment,0.56802541,0.546622634,0.558022022,moderate semantic alignment
STORAL_001,mistral,P-IMP,people will ask for your help,,,,,,missed_by_llm,no match,,,,no match
STORAL_001,mistral,P-IMP,you are generous,,,,,,missed_by_llm,no match,,,,no match
STORAL_001,mistral,P-IMP,you can get stabbed in the back,,,,,,missed_by_llm,no match,,,,no match
STORAL_001,qwen,MC-IMP,Being too generous can lead to people taking advantage of you.,Helping those who intend to harm you is a foolish mistake.,0.341946185,1,Then the trees saw how foolish they had been in giving their enemy the means of destroying themselves,Then the trees saw how foolish they had been in giving their enemy the means of destroying themselves.,matched,poor alignment,0.450508565,0.44911781,0.45070672,weak but meaningful alignment
STORAL_001,qwen,P-IMP,people will ask for your help,,,,,,missed_by_llm,no match,,,,no match
STORAL_001,qwen,P-IMP,you are generous,,,,,,missed_by_llm,no match,,,,no match
STORAL_001,qwen,P-IMP,you can get stabbed in the back,,,,,,missed_by_llm,no match,,,,no match
STORAL_002,gemma,MC-IMP,It's best to mind your own business,Interfering in matters that do not concern you can lead to negative consequences.,0.436744988,0.074074074,"The dog replied, ""Mind your own business""",The master who was sound asleep got wild with the donkey and came running out with a stick and gave hard beatings to the donkey.,matched,weak but meaningful alignment,0.264978886,0.37746352,0.321725607,poor alignment
STORAL_002,gemma,P-IMP,"having good intentions, even though it's not your place, you still take action",Good intentions do not always justify interfering in others' responsibilities.,0.696110606,0.769230769,But the donkey would not listen. He wanted to save his master from thieves. He started to bray.,He wanted to save his master from thieves. He started to bray.,matched,strong alignment,0.357950479,0.321589202,0.340779036,poor alignment
STORAL_002,gemma,P-IMP,"when someone doesn't do their job, it leads to you questioning it",,,,"The dog just lifted up his head and went back to sleep. The donkey asked, ""Why don't you bark. it could be thieves"".",,missed_by_llm,no match,,,,no match
STORAL_002,gemma,P-IMP,your actions can bring consequences,,,,The master who was sound asleep got wild with the donkey and came running out with a stick and gave hard beatings to the donkey,,missed_by_llm,no match,,,,no match
STORAL_002,mistral,MC-IMP,It's best to mind your own business,Interfering in others' business can lead to negative consequences.,0.438923895,0.074074074,"The dog replied, ""Mind your own business""",The master who was sound asleep got wild with the donkey and came running out with a stick and gave hard beatings to the donkey.,matched,weak but meaningful alignment,0.335130483,0.392749012,0.364818066,weak but meaningful alignment
STORAL_002,mistral,P-IMP,"having good intentions, even though it's not your place, you still take action",,,,,,missed_by_llm,no match,,,,no match
STORAL_002,mistral,P-IMP,"when someone doesn't do their job, it leads to you questioning it",,,,,,missed_by_llm,no match,,,,no match
STORAL_002,mistral,P-IMP,your actions can bring consequences,,,,,,missed_by_llm,no match,,,,no match
STORAL_002,qwen,MC-IMP,It's best to mind your own business,Interfering in matters that do not concern you can lead to unnecessary trouble or punishment.,0.423119605,0.35,"The dog replied, ""Mind your own business""","The dog replied, ""Mind your own business"". But the donkey would not listen. He started to bray. The master who was sound asleep got wild with the donkey and came running out with a stick and gave hard beatings to the donkey.",matched,weak but meaningful alignment,0.191482216,0.318472534,0.255415201,poor alignment
STORAL_002,qwen,P-IMP,"having good intentions, even though it's not your place, you still take action",,,,,,missed_by_llm,no match,,,,no match
STORAL_002,qwen,P-IMP,"when someone doesn't do their job, it leads to you questioning it",,,,,,missed_by_llm,no match,,,,no match
STORAL_002,qwen,P-IMP,your actions can bring consequences,,,,,,missed_by_llm,no match,,,,no match
STORAL_003,gemma,MC-IMP,don't underestimate someone by their size or physical appearance,No one is too small to be of help to others.,0.536677957,0.740740741,"""You ridiculed the idea of my ever being able to help you, never expecting to receive from me any repayment of your favor.""","The mouse, recognizing his roar, came and gnawed the rope with his teeth, and set him free, exclaiming: 'You ridiculed the idea of my ever being able to help you, never expecting to receive from me any repayment of your favor.'",matched,moderate alignment,0.287019581,0.20508337,0.246951327,poor alignment
STORAL_003,gemma,P-IMP,"when it is your turn to be in trouble, they keep their promise",,,,"The mouse, recognizing his roar, came and gnawed the rope with his teeth, and set him free",,missed_by_llm,no match,,,,no match
STORAL_003,gemma,P-IMP,you don't take someone seriously just because you think they are not at your level,The powerful often underestimate the capabilities of those who seem weaker.,0.406295836,1,The lion laughed at him but allowed him to go,The lion laughed at him but allowed him to go.,matched,weak but meaningful alignment,0.354604036,0.199183255,0.276908278,poor alignment
STORAL_003,gemma,P-IMP,"you make someone a favor, they promise to give you something in return",,,,"Then the mouse piteously entreated, saying:""If you would only spare my life, I would be sure to repay your kindness.""",,missed_by_llm,no match,,,,no match
STORAL_003,mistral,MC-IMP,don't underestimate someone by their size or physical appearance,"Kindness and help given to others, no matter how small, can be repaid in unexpected ways.",0.347840786,0.057142857,"""You ridiculed the idea of my ever being able to help you, never expecting to receive from me any repayment of your favor.""","The mouse, recognizing his roar, came and gnawed the rope with his teeth, and set him free, exclaiming:",matched,poor alignment,0.093640551,0.151091948,0.123630702,poor alignment
STORAL_003,mistral,P-IMP,"when it is your turn to be in trouble, they keep their promise",,,,,,missed_by_llm,no match,,,,no match
STORAL_003,mistral,P-IMP,you don't take someone seriously just because you think they are not at your level,,,,,,missed_by_llm,no match,,,,no match
STORAL_003,mistral,P-IMP,"you make someone a favor, they promise to give you something in return",,,,,,missed_by_llm,no match,,,,no match
STORAL_003,qwen,MC-IMP,don't underestimate someone by their size or physical appearance,Even those who appear small or weak can provide crucial assistance to the powerful.,0.416630119,0.740740741,"""You ridiculed the idea of my ever being able to help you, never expecting to receive from me any repayment of your favor.""","The mouse, recognizing his roar, came and gnawed the rope with his teeth, and set him free, exclaiming:'You ridiculed the idea of my ever being able to help you, never expecting to receive from me any repayment of your favor.'",matched,weak but meaningful alignment,0.304447383,0.29511258,0.300913423,poor alignment
STORAL_003,qwen,P-IMP,"when it is your turn to be in trouble, they keep their promise",,,,,,missed_by_llm,no match,,,,no match
STORAL_003,qwen,P-IMP,you don't take someone seriously just because you think they are not at your level,,,,,,missed_by_llm,no match,,,,no match
STORAL_003,qwen,P-IMP,"you make someone a favor, they promise to give you something in return",,,,,,missed_by_llm,no match,,,,no match
STORAL_005,gemma,MC-IMP,trusting someone blindly can hurt everyone involved,Conflict between two parties can be exploited by a third party for their own benefit.,0.364216268,0.133333333,The unsuspecting pair did as they were told and in an instant the cat had them both under her claws,No one could deny that the dispute had been definitely settled.,matched,weak but meaningful alignment,0.24975352,0.205344066,0.228707328,poor alignment
STORAL_005,gemma,P-IMP,someone can intervene by trying to solve the disagreement,Negligence can lead to the loss of one's security.,0.245596141,0.217391304,"A wise old cat heard the dispute and offered to settle it. ""Come close to me,"" Said the cat, ""I am very deaf. put your mouths close to my ears while you tell me the facts.""",forgot to latch the door of his house and while he was gone a weasel walked in,matched,poor alignment,0.356010169,0.2643736,0.310911089,poor alignment
STORAL_005,gemma,P-IMP,when experiencing a disagreement and looking for a solution,Deceptive pretenses can be used to lure others into vulnerable positions.,0.11320243,0.121212121,"The rabbit was quite angry for a rabbit , and requested the weasel to move out. But the weasel was perfectly content.",I am very deaf. put your mouths close to my ears while you tell me the facts.,matched,poor alignment,0.130380914,0.187382296,0.160090089,poor alignment
STORAL_005,mistral,MC-IMP,trusting someone blindly can hurt everyone involved,Deception can be used to resolve conflicts when other methods fail.,0.336263061,0.527777778,The unsuspecting pair did as they were told and in an instant the cat had them both under her claws,"A wise old cat heard the dispute and offered to settle it. ""Come close to me,"" Said the cat, ""I am very deaf. put your mouths close to my ears while you tell me the facts."" The unsuspecting pair did as they were told and in an instant the cat had them both under her claws. No one could deny that the dispute had been definitely settled.",matched,poor alignment,0.191788927,0.112599663,0.153262407,poor alignment
STORAL_005,mistral,P-IMP,someone can intervene by trying to solve the disagreement,,,,,,missed_by_llm,no match,,,,no match
STORAL_005,mistral,P-IMP,when experiencing a disagreement and looking for a solution,,,,,,missed_by_llm,no match,,,,no match
STORAL_005,qwen,MC-IMP,trusting someone blindly can hurt everyone involved,Trusting a dangerous or untrustworthy third party to mediate a conflict can lead to mutual destruction.,0.516013741,0.808510638,The unsuspecting pair did as they were told and in an instant the cat had them both under her claws,The unsuspecting pair did as they were told and in an instant the cat had them both under her claws. No one could deny that the dispute had been definitely settled.,matched,moderate alignment,0.305042386,0.494555831,0.399097741,weak but meaningful alignment
STORAL_005,qwen,P-IMP,someone can intervene by trying to solve the disagreement,,,,,,,,,,,no match
STORAL_005,qwen,P-IMP,someone can intervene by trying to solve the disagreement,Neglecting to secure one's property creates opportunities for opportunistic intruders.,0.184483543,0.192307692,"A wise old cat heard the dispute and offered to settle it. ""Come close to me,"" Said the cat, ""I am very deaf. put your mouths close to my ears while you tell me the facts.""",But he forgot to latch the door of his house and while he was gone a weasel walked in and calmly made himself at home.,matched,poor alignment,,,,
STORAL_005,qwen,P-IMP,when experiencing a disagreement and looking for a solution,,,,"The rabbit was quite angry for a rabbit , and requested the weasel to move out. But the weasel was perfectly content.",,missed_by_llm,no match,,,,
STORAL_005,qwen,P-IMP,when experiencing a disagreement and looking for a solution,Neglecting to secure one's property creates opportunities for opportunistic intruders.,,,,,,,0.183961511,0.222608298,0.204507619,poor alignment
STORAL_006,gemma,MC-IMP,arrogance can lead you into danger,Overconfidence and arrogance can lead to one's own downfall.,0.771831274,0.666666667,"Cat then climbed into lion's throat and looked and looked but couldn't find the bone. Then, with one silent bite, lion swallowed jack the cat whole!","Then, with one silent bite, lion swallowed jack the cat whole!",matched,strong alignment,0.555223584,0.513711035,0.53514421,moderate semantic alignment
STORAL_006,gemma,P-IMP,"someone doubts you, so you ask for a challenge",,,,"""Ya, right corny de' lion! give me any request you want and I shall fulfill it!""",,missed_by_llm,no match,,,,no match
STORAL_006,gemma,P-IMP,you are claiming that you are strong,,,,"Cat said, ""Well you don't have to be snotty about it! just because I'm better than you does not mean you have to be a brat about it!""",,missed_by_llm,no match,,,,no match
STORAL_006,gemma,P-IMP,you ignore warning signs of danger while you are trying to prove yourself,Acting impulsively without considering the risks can be dangerous.,0.5725528,0.325581395,"""Well, I do have this bone in my throat that has been bugging me for ages! will you get it out for me?"" Lion spoke with a mysterious glint in his eyes. ""Sure!"" Cat said without thinking even once.",'Sure!' Cat said without thinking even once.,matched,moderate alignment,0.422782063,0.333768308,0.378911018,weak but meaningful alignment
STORAL_006,mistral,MC-IMP,arrogance can lead you into danger,Arrogance and overconfidence can lead to one's downfall.,0.799490333,1,"Cat then climbed into lion's throat and looked and looked but couldn't find the bone. Then, with one silent bite, lion swallowed jack the cat whole!","Cat then climbed into lion's throat and looked and looked but couldn't find the bone. Then, with one silent bite, lion swallowed jack the cat whole!",matched,strong alignment,0.611921072,0.638942599,0.626008213,moderate semantic alignment
STORAL_006,mistral,P-IMP,"someone doubts you, so you ask for a challenge",,,,,,,,,,,no match
STORAL_006,mistral,P-IMP,"someone doubts you, so you ask for a challenge",Arrogance can provoke negative reactions from others.,0.35717535,0.153846154,"""Ya, right corny de' lion! give me any request you want and I shall fulfill it!""","Cat said, ""Well you don't have to be snotty about it! just because I'm better than you does not mean you have to be a brat about it!""",matched,weak but meaningful alignment,,,,
STORAL_006,mistral,P-IMP,you are claiming that you are strong,,,,"Cat said, ""Well you don't have to be snotty about it! just because I'm better than you does not mean you have to be a brat about it!""",,missed_by_llm,no match,,,,
STORAL_006,mistral,P-IMP,you are claiming that you are strong,Arrogance can provoke negative reactions from others.,,,,,,,0.273845971,0.256443083,0.266323328,poor alignment
STORAL_006,mistral,P-IMP,you ignore warning signs of danger while you are trying to prove yourself,Overconfidence can lead to making reckless decisions.,0.559378803,0.192307692,"""Well, I do have this bone in my throat that has been bugging me for ages! will you get it out for me?"" Lion spoke with a mysterious glint in his eyes. ""Sure!"" Cat said without thinking even once.","""Ya, right corny de' lion! give me any request you want and I shall fulfill it!""",matched,moderate alignment,0.417850107,0.323526204,0.37128976,weak but meaningful alignment
STORAL_006,qwen,MC-IMP,arrogance can lead you into danger,Acting impulsively without considering the consequences can lead to ruin.,0.566236138,0.897959184,"Cat then climbed into lion's throat and looked and looked but couldn't find the bone. Then, with one silent bite, lion swallowed jack the cat whole!","Cat said without thinking even once. Cat then climbed into lion's throat and looked and looked but couldn't find the bone. Then, with one silent bite, lion swallowed jack the cat whole!",matched,moderate alignment,0.477224767,0.474003732,0.476465642,weak but meaningful alignment
STORAL_006,qwen,P-IMP,"someone doubts you, so you ask for a challenge",,,,"""Ya, right corny de' lion! give me any request you want and I shall fulfill it!""",,missed_by_llm,no match,,,,
STORAL_006,qwen,P-IMP,"someone doubts you, so you ask for a challenge",A seemingly simple request from an adversary may actually be a deliberate trap.,,,,,,,0.29061684,0.293058872,0.292988122,poor alignment
STORAL_006,qwen,P-IMP,you are claiming that you are strong,,,,"Cat said, ""Well you don't have to be snotty about it! just because I'm better than you does not mean you have to be a brat about it!""",,missed_by_llm,no match,,,,no match
STORAL_006,qwen,P-IMP,you ignore warning signs of danger while you are trying to prove yourself,,,,,,,,,,,no match
STORAL_006,qwen,P-IMP,you ignore warning signs of danger while you are trying to prove yourself,A seemingly simple request from an adversary may actually be a deliberate trap.,0.365854234,0.4,"""Well, I do have this bone in my throat that has been bugging me for ages! will you get it out for me?"" Lion spoke with a mysterious glint in his eyes. ""Sure!"" Cat said without thinking even once.",Lion spoke with a mysterious glint in his eyes.,matched,weak but meaningful alignment,,,,
